id,has_availability,availability_30,availability_60,availability_90,availability_365
8053541,t,1,4,8,84
8057058,t,23,44,64,327
8059526,t,29,53,81,356
8064557,t,23,51,81,327
8064825,t,7,10,22,227
8066233,t,12,21,40,147
8105787,,0,0,0,0
8165149,t,4,7,9,126
7280134,t,30,60,90,365
7280285,t,30,60,90,365
7280408,t,30,60,90,365
7291706,t,28,58,88,178
7292731,t,28,58,88,178
7299402,t,28,58,88,339
7305416,t,18,47,75,329
7317297,t,30,60,90,263
8692727,t,8,8,8,72
8692997,t,0,0,0,65
8175547,,0,0,0,0
8185714,t,10,20,25,150
8185870,t,6,12,17,125
8192650,t,7,19,28,233
8210813,t,30,60,90,286
8239163,t,30,43,64,237
8283374,t,30,60,90,184
8298268,t,17,24,35,102
8314899,t,12,17,19,99
8321427,,0,0,0,0
8325487,t,23,34,51,297
8344859,t,0,0,0,0
8369199,t,29,59,89,364
8371207,t,0,0,0,0
8392907,t,0,0,0,0
8392923,t,0,0,0,0
8425056,t,0,0,0,0
8426786,t,27,50,75,335
8426811,t,8,21,42,301
8693218,t,9,9,9,73
8697503,t,1,4,7,75
8707683,t,0,0,0,0
8708415,t,0,0,0,0
8712038,t,17,22,30,76
8713693,,0,0,0,0
8437987,t,0,0,0,0
8453440,t,14,19,27,228
8453647,t,19,30,50,298
8455018,t,14,20,31,239
8455142,t,13,20,40,291
8455883,t,14,23,36,254
8455980,t,19,27,47,297
8456041,t,26,41,63,328
8483711,t,0,0,0,0
8503702,,0,0,0,0
8504418,t,10,10,22,242
8519443,t,4,23,53,143
8747853,t,0,0,0,0
8786715,t,7,15,24,175
8787862,,0,0,0,0
8791514,,0,0,0,0
8811556,t,30,57,73,236
8866510,,0,0,0,0
8536830,,0,0,0,0
8547623,t,0,0,0,0
8574958,t,22,38,55,220
8576831,,0,0,0,0
8629316,t,28,58,75,350
8644833,t,13,21,51,295
8644982,t,8,20,22,183
8644988,t,2,2,2,265
8671362,t,8,10,13,116
8880415,t,13,20,28,163
8881911,t,0,21,51,225
8886317,t,0,4,34,309
8886442,t,18,35,59,280
8672985,t,2,32,62,337
8676083,,0,0,0,0
8685222,t,4,4,4,68
8686233,t,9,9,9,73
8692223,t,9,9,9,73
9898954,t,5,10,16,234
9899517,t,7,16,27,258
8886574,t,0,0,0,231
8886783,t,22,29,59,304
8886961,t,26,28,53,328
8961376,t,0,0,0,0
8983055,t,27,57,85,346
8997819,t,12,17,25,169
9009795,t,29,56,67,333
9011828,t,5,24,49,324
9011865,t,25,44,54,236
9027023,t,28,55,75,170
9036968,t,11,14,23,193
9904109,t,14,30,30,30
9969335,t,0,0,0,188
9970652,t,28,40,70,326
9981559,t,25,54,80,209
9982731,t,7,28,51,138
9983055,t,0,0,0,155
9983221,t,3,4,4,72
9993153,t,3,4,6,164
9046774,t,5,11,33,303
9093295,,0,0,0,0
9140555,t,30,60,90,365
9147272,t,18,43,73,348
9149350,t,30,59,81,356
9155815,t,30,60,90,365
9168000,t,28,55,85,360
10019375,t,13,25,40,238
10038195,t,6,20,30,281
10074667,t,14,20,24,244
10083468,t,19,40,49,307
10097660,t,14,19,23,155
10103701,,0,0,0,0
10117617,t,0,0,0,5
10118022,t,0,0,0,0
10132375,t,5,16,23,241
9172580,t,9,15,28,238
9217882,t,4,26,51,224
9224269,t,13,14,20,99
9248616,t,0,0,0,0
10134129,t,14,26,37,275
10135846,t,11,23,38,252
10139717,t,0,0,0,0
10166766,,0,0,0,0
10198042,t,29,59,89,179
10239048,t,0,0,0,0
10245541,t,21,38,68,92
10245700,t,7,12,20,69
10261567,t,0,0,0,67
10263952,t,0,0,0,0
9253222,t,1,5,8,88
9257309,t,15,41,68,158
9280084,t,0,0,0,0
10288807,t,29,59,89,364
10303124,t,18,31,57,228
10348742,t,0,0,0,0
10375301,t,15,23,36,274
10376356,t,6,14,32,278
10383901,t,24,35,35,283
10435508,t,29,53,83,317
10443903,t,23,42,60,320
10444324,t,13,27,40,285
10444627,t,14,29,38,288
9289408,t,11,24,50,321
9289456,t,10,29,58,333
9336976,t,9,20,40,299
10446674,t,19,38,59,288
10453288,t,30,34,46,89
10492982,t,4,14,32,302
10493022,t,27,57,85,342
10558477,t,1,1,1,23
10560325,t,0,0,0,194
10588829,t,12,16,22,212
9338818,t,0,0,0,66
9341476,t,22,35,43,274
9366933,t,9,18,42,304
9374717,t,18,30,44,262
9388776,t,0,0,0,0
10605132,t,12,20,37,236
10614608,t,5,34,64,323
10616492,t,21,30,47,130
10628126,t,5,14,29,107
10635214,t,10,11,18,253
10646105,,0,0,0,0
10664888,t,5,8,21,185
10696002,f,0,0,0,0
9444294,t,10,21,34,302
10697554,t,0,7,15,194
10741645,t,20,33,42,244
10751577,t,6,25,28,269
10785651,t,28,34,43,269
10794699,t,11,28,53,321
10803366,t,23,34,47,309
10810184,t,14,31,46,311
10844635,t,0,0,0,0
10869052,t,4,13,18,251
9488144,,0,0,0,0
9511619,t,30,60,90,365
9530473,t,16,29,48,304
9566183,t,16,19,27,243
9575383,t,1,1,1,1
9578531,t,11,15,21,215
10891941,t,6,26,46,298
10898353,t,15,22,27,272
10902691,t,16,26,54,307
10920573,t,0,0,0,0
10920974,t,5,18,27,122
10921082,t,6,16,31,118
10921143,t,11,28,52,184
10921202,t,14,42,64,202
10921255,t,19,48,71,192
9593848,t,9,26,51,324
9603199,t,6,18,48,228
9623690,t,4,4,4,4
9656213,t,5,11,16,281
9678477,t,30,57,87,340
9729451,t,29,59,89,364
9733160,t,30,54,77,77
9754045,t,28,52,71,71
10921917,t,13,18,27,231
10955974,t,16,35,58,200
10960078,t,0,0,0,66
10962358,t,1,2,4,4
10966135,,0,0,0,0
10977258,t,0,0,0,8
10984720,t,6,28,58,157
11029340,t,11,27,37,283
9771470,t,20,27,34,232
9776121,t,10,16,24,264
9781706,t,1,1,1,1
9782756,t,29,51,81,195
9818493,t,18,24,36,282
9833392,t,22,31,36,302
11046074,t,0,0,0,0
11052120,t,7,15,28,285
11088694,t,7,37,61,61
11105011,t,10,40,65,65
11111734,t,0,0,0,0
11123370,t,28,39,52,308
11136226,t,1,1,1,1
11136307,,0,0,0,0
9837994,t,24,54,84,264
9840252,t,11,26,44,182
11706280,t,0,0,0,0
11720091,t,0,0,0,0
11720879,t,0,0,0,0
11729396,t,21,33,55,321
11770808,t,12,27,48,201
11195512,t,30,56,84,358
11202257,t,7,26,54,329
11204612,t,0,0,0,0
11247912,t,0,0,0,89
11250629,t,28,42,42,42
11250643,t,28,42,42,42
11275276,t,27,57,87,235
11316055,t,0,0,0,0
11348062,t,30,60,88,360
11786508,t,15,27,35,188
